,protein_name
1044,TMEM132D_T132D
1045,TMEM167B_KISHB
1046,ENOX2_ENOX2
1047,FAM213A_CJ058
1048,MAN1C1_MA1C1
1049,WFDC10A_WF10A
1050,SLC14A1_UT1
1051,FAM159A_F159A
1052,PARVA_PARVA
1053,IL20RB_IL_20_Rb
1054,MAZ_MAZ
1055,CHRD_CHRD
1056,IQCF3_IQCF3
1057,DIXDC1_DIXC1
1058,SPRN_SPRN
1059,SF3B4_SF3B4
1060,USP8_UBP8
1061,FNDC4_FNDC4
1062,SMIM13_SIM13
1063,MRPL33_RM33
1064,ELF5_ELF5
1065,TOR4A_CI167
1066,CHAD_CHAD
1067,PXDN_PXDN
1068,NRAC_NRAC
1069,RCAN1_CCP1
1070,NEURL4_NEUL4
1071,PTH1R_PTH1R
1072,HDHD2_HDHD2
1073,ITPKA_IP3KA
1074,GSTK1_GSTK1
1075,UBE2D4_UB2D4
1076,KIN_KIN17
1077,LTB4R_LT4R1
1078,FAM171A2_F1712
1079,TCEA2_TCEA2
1080,CNOT1_CNOT1
1081,COL1A1_CO1A1
1082,TMEM87B_TM87B
1083,PKD2_PKD2
1084,UNC93B1_UN93B
1085,ARFIP1_ARFP1
1086,MPP6_MPP6
1087,PDE6D_PDE6D
1088,HSPA9_HSPA9B
1089,GRID1_GRID1
1090,CERS5_CERS5
1091,HCAR2_HCAR2
1092,HMGCS1_HMCS1
1093,EIF3J_EIF3J
1094,MIOX_MIOX
1095,F8_Coagulation_Factor_VIII
1096,SLC35G2_S35G2
1097,SLC26A11_S2611
1098,ARL6IP5_PRAF3
1099,DUS2_DUS2L
1100,TRADD_TRADD
1101,SCAMP5_SCAM5
1102,ATP2A3_AT2A3
1103,SATB1_SATB1
1104,HNRNPR_HNRPR
1105,PIAS3_PIAS3
1106,RAB35_Rab_1C
1107,RPRD1A_RPR1A
1108,EMC4_TMM85
1109,PTCHD3_PTHD3
1110,ASAP2_ASAP2
1111,ARHGEF25_ARHGP
1112,VSNL1_VISL1
1113,HS6ST2_H6ST2
1114,KCNG4_KCNG4
1115,SSB_LA
1116,NAP1L2_NP1L2
1117,UTS2R_UR2R
1118,CNEP1R1_NEPR1
1119,MYOM2_MYOM2
1120,COL4A3BP_C43BP
1121,POLI_POLI
1122,KCNN1_KCNN1
1123,GPR26_GPR26
1124,MYCT1_MYCT1
1125,HMHA1_HMHA1
1126,EIF1AD_EIF1A
1127,HTR7_5HT7R
1128,PPAPDC1A_PPC1A
1129,ADAM29_ADA29
1130,SWAP70_SWP70
1131,DCUN1D3_DCNL3
1132,REPIN1_REPI1
1133,HTR2A_5HT2A
1134,PVRL3_Nectin_3
1135,HTR6_5HT6R
1136,ACBD7_ACBD7
1137,RBL2_p130
1138,SSU72_SSU72
1139,DPYSL2_DPYL2
1140,PSMD4_PSMD4
1141,HDLBP_VIGLN
1142,PSMD11_PSD11
1143,ARPC3_p21_ARC
1144,RND1_RND1
1145,DVL2_DVL2
1146,U2AF2_U2AF2
1147,ABLIM3_ABLM3
1148,UAP1_Sperm_associated_antigen_2
1149,APAF1_Apaf_1
1150,RACGAP1_RGAP1
1151,ANXA9_ANXA9
1152,APBB3_APBB3
1153,REXO2_ORN
1154,PRIM1_PRI1
1155,GGA1_GGA1
1156,THTPA_THTPA
1157,RAB27B_RB27B
1158,RAB31_RAB31
1159,RABEPK_RABEK
1160,NHP2L1_NH2L1
1161,RFESD_RFESD
1162,NEURL1_NEUL1
1163,ANXA10_ANX10
1164,GTF2I_GTF2I
1165,MAGEA10_MAGE_10
1166,CYTIP_CYTIP
1167,AK5_Adenylate_kinase_isoenzyme_5
1168,CREBBP_CREB_binding_protein
1169,NCK2_NCK2
1170,MAD1L1_MD1L1
1171,ASNA1_ASNA
1172,AP2A2_AP2A2
1173,PPP2R5A_2A5A
1174,MLL2_MLL2
1175,NADK_NADK
1176,SSB_LA
1177,GRB14_GRB14
1178,ATG4B_ATG4B
1179,RBBP5_RB_binding_protein_5
1180,ZYX_Zyxin
1181,PIR_PIR
1182,NAP1L1_NP1L1
1183,USO1_USO1
1184,IFIT3_CIG49
1185,HGS_HGS
1186,DHX38_PRP16
1187,KCNIP1_KCIP1
1188,ZFP91_ZFP91
1189,TOM1L1_TM1L1
1190,MACROD1_MACD1
1191,ROCK2_ROCK2
1192,NCL_Nucleolin
1193,PNKP_PNKP
1194,PDGFC_PDGF_CC
1195,ATP13A1_AT131
1196,PPP2R3A_PP2A__subunit_B
1197,CA10_Carbonic_Anhydrase_X
1198,FGFR3_FGFR_3
1199,ELANE_Elastase
1200,HSPA6_HSP76
1201,CCT7_TCPH
1202,INHBB_Inhibin_bB_chain
1203,NAB2_NAB2
1204,CSNK2A2_CSK22
1205,CSF1R_M_CSF_R
1206,CLCNKB_CLCKB
1207,IL5RA_IL_5_Ra
1208,CAPSL_CAPSL
1209,ODC1_Ornithine_decarboxylase
1210,SLC5A8_SC5A8
1211,WISP1_WISP_1
1212,CRLF2_TSLP_R
1213,GPD1_GPDA
1214,KIAA0319L_K319L
1215,ANXA2_annexin_II
1216,HMGCS2_HMCS2
1217,CLTC_CLH1
1218,SEC22A_SC22A
1219,FCN2_FCN2
1220,PAK4_PAK4
1221,PRTN3_Proteinase_3
1222,FGF19_FGF_19
1223,CD80_B7
1224,SPOP_SPOP
1225,ERP29_ERP29
1226,SFXN5_SFXN5
1227,IL12B_IL_12_p40
1228,RAP1GAP_RPGP1
1229,INHBA_Inhibin_bA_chain
1230,13740_51_FRZB_sFRP_3.txt(1).gz
1231,FRZB_sFRP_3
1232,CUL4B_CUL4B
1233,IL3RA_IL_3_Ra
1234,PKD2_PKD2
1235,CCL8_MCP_2
1236,RMI1_RMI1
1237,CROT_OCTC
1238,APOBEC3G_ABC3G
1239,PSMD9_PSMD9
1240,ARHGEF7_COOL_1
1241,NAB1_NAB1
1242,MCF2L_MCF2L
1243,PGK2_PGK2
1244,CAND1_CAND1
1245,UGP2_UGPA1
1246,IFI16_IP16
1247,FARS2_SYFM
1248,SPSB1_SPSB1
1249,DPY30_DPY30
1250,SULT1A3_SULT_1A3
1251,DDX23_DDX23
1252,NUDT12_NUD12
1253,GABBR2_GABR2
1254,COL4A3BP_C43BP
1255,GNPNAT1_GNA1
1256,DAPK1_DAPK1
1257,RBM46_RBM46
1258,LAP3_LAP
1259,AGAP3_AGAP3
1260,KIF3A_KIF3A
1261,TOLLIP_tollip
1262,MYOM3_MYOM3
1263,TXNRD1_Thioredoxin_reductase_1
1264,KPNA6_IMA7
1265,HSD17B14_DHB14
1266,TTL_TTL
1267,PPFIA1_LIPA1
1268,ARHGEF1_ARHG1
1269,BARD1_BARD1
1270,TBX3_Tbx3
1271,SLC26A7_S26A7
1272,RGS18_RGS18
1273,CRYZ_QOR
1274,DDX25_DDX25
1275,SMURF2_SMUF2
1276,LANCL1_LANC1
1277,NMRAL1_NMRL1
1278,PC_pyruvate_carboxylase
1279,EIF4G3_IF4G3
1280,NSF_NSF
1281,EPB41L1_E41L1
1282,FBL_FBRL
1283,PPCDC_COAC
1284,ADSSL1_PURA1
1285,DOCK9_DOCK9
1286,CHD7_CHD7
1287,GNMT_GNMT
1288,PAPSS1_PAPS1
1289,DCP1A_DCP1A
1290,TNFAIP3_TNFAIP3
1291,S100A11_S100A11
1292,DHX58_LGP2
1293,TANK_TANK
1294,EVPL_EVPL
1295,MED4_MED4
1296,EDA_EDA
1297,TNFRSF9_4_1BB
1298,IL17F_IL_17F
1299,PIK3C2A_P3C2A
1300,COPS2_CSN2
1301,TACSTD2_GA733_1_protein
1302,TIAM1_TIAM1
1303,MPDZ_MPDZ
1304,RANBP3_RANB3
1305,KLK5_kallikrein_5
1306,EEA1_EEA1
1307,NCOA2_NCOA2
1308,BDNF_BDNF
1309,IL1RAP_IL_1_R_AcP
1310,FOXC2_FOXC2
1311,UNC13A_UN13A
1312,IL15RA_IL_15_Ra
1313,CGA_Glycoprotein_hormones_a_chain
1314,NCF4_NCF4
1315,TNFSF11_sRANKL
1316,OSM_OSM
1317,CD5_CD5
1318,MAGI2_MAGI2
1319,PKP2_PKP2
1320,CA4_Carbonic_Anhydrase_IV
1321,ITSN1_ITSN1
1322,14074_2_SHC2_SHC2.txt(1).gz
1323,SHC2_SHC2
1324,CST4_Cystatin_S
1325,IL18R1_IL_18_Ra
1326,TLN2_TLN2
1327,SEPHS1_SPS1
1328,IGFBP6_IGFBP_6
1329,DEF6_DEFI6
1330,CBR3_Carbonyl_reductase_3
1331,FLT3LG_Flt3_ligand
1332,HBEGF_HB_EGF
1333,KLRK1_NKG2D
1334,CARS_SYCC
1335,PSMA4_PSA4
1336,C1QC_C1QC
1337,CNTFR_CNTFR_alpha
1338,RAP1GDS1_GDP_GTP_exchange_protein
1339,MTHFS_MTHFS
1340,THBS2_TSP2
1341,RELT_RELT
1342,PIANP_PIANP
1343,ADM_Adrenomedullin
1344,S100A4_S100A4
1345,RNF43_RNF43
1346,TNFRSF10D_TRAIL_R4
1347,ZNRF3_ZNRF3
1348,C10orf54_GI24
1349,EFNA2_Ephrin_A2
1350,IFNB1_IFN_b
1351,IFNA10_IFN10
1352,IFNA7_IFNA7
1353,EFNB2_EFNB2
1354,HHLA2_HHLA2
1355,IL1R2_IL_1_sRII
1356,AMIGO2_AMGO2
1357,RXFP1_RXFP1
1358,CD93_C1QR1
1359,NRG4_NRG4
1360,HIST2H2BE_H2B2E
1361,HIST3H2A_H2A3
1362,HIST1H3A_H31
1363,IL36B_IL_1F8
1364,IL36A_IL_1F6
1365,ISG15_UCRP
1366,EFNA3_Ephrin_A3
1367,YWHAB_14_3_3_protein_beta_alpha
1368,YWHAE_14_3_3E
1369,ANXA5_Annexin_V
1370,SCP2D1_SCP2D
1371,CDKN3_CDKN3
1372,RFFL_RFFL
1373,PDCL2_PDCL2
1374,PRDM1_PRDM1
1375,ANXA7_ANXA7
1376,FOXJ2_FOXJ2
1377,HEXIM2_HEXI2
1378,APBB1_APBB1
1379,RBP7_RET7
1380,DDX46_DDX46
1381,BHMT2_BHMT2
1382,MYL6B_MYL6B
1383,MOCS3_MOCS3
1384,SNX7_SNX7
1385,DOK2_DOK2
1386,MID2_TRIM1
1387,BLMH_BLMH
1388,PTPN4_PTN4
1389,NET1_ARHG8
1390,SRXN1_SRXN1
1391,RAB6B_RAB6B
1392,PREP_PPCE
1393,RAB14_RAB14
1394,EIF2AK4_E2AK4
1395,NFATC1_NF_ATc1
1396,RAB5C_RAB5C
1397,AGAP2_AGAP2
1398,MBD1_MBD1
1399,HNRNPH1_HNRH1
1400,PPIL2_PPIL2
1401,VPS29_VPS29
1402,SMC3_CSPG6
1403,UBE2E1_UB2E1
1404,DIDO1_DIDO1
1405,DYNLT1_DYLT1
1406,RALA_RALA
1407,RCVRN_RECO
1408,TRAPPC3_TPPC3
1409,FAM69C_FA69C
1410,MSTN_Myostatin
1411,GDF11_GDF_11
1412,FAM210A_F210A
1413,SEMA6C_SEM6C
1414,STAB1_STAB1
1415,KIAA0040_KIAA0040
1416,NCMAP_CA130
1417,KRTAP2_4_KRA24
1418,ZNF382_ZN382
1419,VOPP1_ECOP
1420,ZNF526_ZN526
1421,SUMO3_SUMO3
1422,CTCF_CTCF
1423,FBXO3_FBX3
1424,DUSP16_DUS16
1425,TMEM185A_T185A
1426,LHCGR_LSHR
1427,HRSP12_Ribonuclease_UK114
1428,GSTA4_GSTA4
1429,DNAJC17_DJC17
1430,MZF1_MZF1
1431,RNF8_RNF8
1432,SKIL_SKIL
1433,PACSIN3_PACN3
1434,EIF4B_IF4B
1435,CAPN2_CAN2
1436,AKT2_PKB_beta
1437,PLIN3_M6PBP
1438,PTPN7_PTN7
1439,SEC13_SEC13
1440,ZNF276_ZN276
1441,FIGF_VEGF_D
1442,C8G_CO8G
1443,CST6_Cystatin_M
1444,AZU1_Azurocidin
1445,CRLF1_CRLF1
1446,ARHGAP5_RHG05
1447,IGF2_IGF_II
1448,S100A3_S100A3
1449,NETO1_NETO1
1450,MESDC2_MESD2
1451,CCDC134_CC134
1452,ACRV1_sperm_protein_10
1453,S100A5_S100A5
1454,REG3A_PAP1
1455,SCGN_Secretagogin
1456,IGJ_IgJ
1457,VWC2_VWC2
1458,PRC1_PRC1
1459,AGO1_AGO1
1460,MAD2L1_MD2L1
1461,CLIC4_CLIC4
1462,CUTC_CUTC
1463,TXNL4B_TXN4B
1464,S100A10_Calpactin_I_light_chain
1465,CCNA1_CCNA1
1466,CPLX2_CPLX2
1467,CRADD_CRADD
1468,AGO3_AGO3
1469,FTL_Ferritin_light_chain
1470,GAP43_NEUM
1471,GBP1_GBP1
1472,ROBLD3_MAPIP
1473,RBBP4_RBBP4
1474,SDF2_SDF2
1475,SELM_SELM
1476,CFL2_COF2
1477,KNG1_Kininogen__HMW__Two_Chain
1478,IFNG_IFN_g
1479,HPX_Hemopexin
1480,SCG5_7B2
1481,ANKRD1_ANKR1
1482,APOA5_Apo_A_V
1483,APOC1_Apo_C_I
1484,BAI3_BAI3
1485,BPIFB1_LPLC1
1486,BMPER_BMPER
1487,BOLA1_BOLA1
1488,BRD2_BRD2
1489,GKN1_CA11_protein
1490,CPB1_Carboxypeptidase_B1
1491,CTSE_CATE
1492,DDR2_Discoidin_domain_receptor_2
1493,EDN3_Endothelin_3
1494,KL_KLOTHO
1495,FABP2_FABP2
1496,FABP4_FABPA
1497,NRP2_Neuropilin_2
1498,FCGR3A_FcRIIIa
1499,FXN_FRDA
1500,GAL_Galanin
1501,GAS6_GAS_6
1502,UNC5B_UNC5B
1503,GSTM1_GST_M1_1
1504,GFER_HERV1
1505,ID1_ID_1
1506,ID2_ID2
1507,IFNA21_IFN21
1508,IFNA4_IFNA4
1509,BIRC7_KIAP
1510,LCAT_LCAT
1511,LDHA_LDHA
1512,LYG2_LYG2
1513,SERPINB5_Maspin
1514,MAPK10_MK10
1515,MMP20_MMP20
1516,PMP2_MYP2
1517,NEU1_NEUR1
1518,LOXL3_LOXL3
1519,OPTC_OPT
1520,OTC_OTCase
1521,OTOR_Otoraplin
1522,SRC_p60_Src
1523,PNOC_PNOC
1524,PNP_PNP
1525,RAMP1_RAMP1
1526,RAMP3_RAMP3
1527,RND3_RND3
1528,PCSK2_NEC2
1529,GM2A_SAP3
1530,SERPINB4_SCCA2
1531,NRG1_SMDF
1532,SORD_Sorbitol_dehydrogenase
1533,SQSTM1_SQSTM
1534,TIMD4_TIM_4
1535,NT5E_5__Nucleotidase
1536,AMBP_a1_Microglobulin
1537,ADAM15_ADA15
1538,ANPEP_Aminopeptidase_N
1539,DPP4_CD26
1540,CD8A_CD8A
1541,CNPY4_CNPY4
1542,COL9A1_CO9A1
1543,CTHRC1_CTHR1
1544,CFHR1_FHR1
1545,HEXB_Hexosaminidase_B
1546,PNLIPRP2_LIPR2
1547,LRP11_LRP11
1548,PIN1_PIN1
1549,PLTP_PLTP
1550,REG3G_REG3G
1551,VNN2_VNN2
1552,CAMP_LL_37
1553,A2ML1_A2ML1
1554,AGRN_Agrin
1555,AOC1_ABP1
1556,CES1_carboxylesterase__liver
1557,CD248_CD248
1558,CRIM1_CRIM1
1559,FGFBP1_FGFP1
1560,FOLR3_FOLR3
1561,HS3ST1_HS3S1
1562,ATRN_Attractin
1563,LEFTY2_Lefty_A
1564,LEFTY2_Lefty_A
1565,BIRC7_Livin_B
1566,LRP12_LRP12
1567,NAGLU_NAG
1568,NPTXR_NPTXR
1569,PRSS8_Prostasin
1570,BCHE_Pseudocholinesterase
1571,SAA1_SAA
1572,SAA4_SAA_4
1573,CLSTN1_Alcadein_alpha_1
1574,GLIPR2_GAPR1
1575,ALAD_HEM2
1576,PGAM2_PGAM2
1577,ADH1C_ADH1G
1578,GSS_GSHB
1579,DLD_DLDH
1580,CSRP1_Cysteine_rich_protein_1
1581,EPHB4_EphB4
1582,MSR1_Macrophage_scavenger_receptor
1583,MDH2_Malate_dehydrogenase_2
1584,PRSS27_Marapsin
1585,SLITRK1_SLIK1
1586,VIM_Vimentin
1587,CKMT1A_KCRU
1588,KLK14_kallikrein_14
1589,PPP3R1_Calcineurin_B_a
1590,PHGDH_SERA
1591,ACHE_ACES
1592,AMY2B_Alpha_amylase_2B
1593,ENPEP_AMPE
1594,ANTXR2_ANTR2
1595,TCN2_Apo_TC_II
1596,GUSB_BGLR
1597,MUC16_CA125
1598,CNN1_Calponin_1
1599,CD247_CD3_zeta
1600,COL2A1_Collagen_II
1601,CR2_Complement_receptor_type_2
1602,NCAN_CSPG3
1603,CCNA2_Cyclin_A
1604,RNASE3_ECP
1605,ENPP6_ENPP6
1606,EPHA7_EPHA7
1607,FANK1_FANK1
1608,FCN1_FCN1
1609,FCRLB_FCRLB
1610,CFHR2_FHR2
1611,FBLN5_fibulin_5
1612,FOLR2_FOLR2
1613,GLA_galactosidase__alpha
1614,GC_Gc_Globulin__Mixed_Type
1615,GPX1_Glutathione_peroxidase
1616,HTRA1_HTRA1
1617,HEXIM1_HEXI1
1618,IL6R_IL_6_sRa
1619,ITGA2_Integrin_alpha_2
1620,MAPK9_JNK2
1621,KRT19_Keratin_19
1622,PKLR_KPYR
1623,RPS6KB1_KS6B1
1624,LAP3_LAP
1625,LIN7B_LIN7B
1626,PNLIP_LIPP
1627,LILRA2_LIRA2
1628,LILRB3_LIRB3
1629,XCL2_lymphotactin_beta
1630,MOG_MOG
1631,NLGN1_NLGN1
1632,OPCML_OBCAM
1633,PDCD1_PD_1
1634,HSPG2_Perlecan
1635,AKT1_PKB
1636,PSG1_PSG1
1637,RBP4_RBP
1638,SLIT1_SLIT1
1639,SMOC2_SMOC2
1640,SORCS1_SORC1
1641,SORCS3_SORC3
1642,TAGLN_TAGL
1643,TMEFF1_TEFF1
1644,BTD_Biotinidase
1645,COL10A1_COAA1
1646,BMP2_BMP_2
1647,BMP4_BMP_4
1648,BMP8B_BMP_8
1649,BRAF_BRAF1
1650,C1QL2_C1QL2
1651,CD79A_CD79A
1652,CEBPB_CEBPB
1653,DKK2_DKK2
1654,INHBC_INHBC
1655,LMAN1_Mannose_binding_lectin
1656,NODAL_NODAL
1657,PGR_PgR
1658,TXLNA_TXLNA
1659,GPT_ALT
1660,CDH8_Cadherin_8
1661,FLT4_VEGF_sR3
1662,SHC1_SHC1
1663,OLR1_OLR1
1664,CFHR5_complement_factor_H_related_5
1665,IGF2R_IGF_II_receptor
1666,NID2_NID2
1667,WIF1_WIF_1
1668,GRAP2_GRB2_related_adapter_protein_2
1669,TEC_TEC
1670,AKR1B10_Aldose_reductase_like
1671,EPHA4_EPHA4
1672,GIP_GIP
1673,GHRH_Growth_hormone_releasing_factor
1674,LGR5_LGR5
1675,ROBO4_ROBO4
1676,PLA2G2D_sPLA_2__IID
1677,TIGIT_TIGIT
1678,TREM2_TREM2
1679,BPIFA2_SPLC2
1680,LGR4_LGR4
1681,CDH11_Cadherin_11
1682,UNC5D_UNC5H4
1683,BTLA_BTLA
1684,DKKL1_Soggy_1
1685,CDH6_Cadherin_6
1686,FLT1_VEGF_sR1
1687,DSG3_Desmoglein_3
1688,ACVRL1_ALK_1
1689,CD320_CD320
1690,PACAP_PACAP
1691,NRXN3_NRX3A
1692,TLR1_TLR1
1693,HMGA1_HMGA1
1694,STAT5B_STA5B
1695,MYOC_MYOC
1696,A1BG_Alpha_1B_glycoprotein
1697,NUDT2_AP4A
1698,B3GNT4_B3GN4
1699,CSN2_Beta_casein
1700,HSPA5_BiP
1701,CHIA_CHIA
1702,FADD_FADD
1703,FAIM_FAIM1
1704,GLRX3_GLRX3
1705,GLRX5_GLRX5
1706,GPN1_GPN1
1707,C1QTNF9_C1T9A
1708,AKR1B1_Aldose_reductase
1709,GSN_Gelsolin
1710,KIRREL2_KIRR2
1711,LRP10_LRP10
1712,SDC3_SDC3
1713,CDH17_CAD17
1714,RSPO1_RSPO1
1715,ENO3_ENOB
1716,CASP14_Caspase_14
1717,CD69_CD69
1718,LY75_LY75
1719,APOA1BP_AIBP
1720,INHBB_Activin_B
1721,BMP3_BMP_3
1722,GDF10_BMP_3b
1723,NPPB_BNP
1724,COL6A2_CO6A2
1725,CASK_CSKP
1726,GDF3_GDF_3
1727,GDF7_GDF7
1728,HDGF_HDGF
1729,IL26_IL_26
1730,LECT2_LECT2
1731,PPBP_PBP
1732,JUP_PLAK
1733,RAC3_RAC3
1734,REG1B_REG1B
1735,SCUBE3_SCUB3
1736,ENGASE_ENASE
1737,DEFA5_HD_5
1738,SIGLEC5_Siglec_5
1739,OCIAD1_OCAD1
1740,CALB2_CALB2
1741,PDE5A_PDE5A
1742,TNNT3_TNNT3
1743,NME4_NDKM
1744,GDI1_RhoGDI
1745,FHL1_SLIM_1
1746,CDCP1_CDCP1
1747,APOL3_APOL3
1748,ATXN3_ATX3
1749,COL6A1_Collagen_a1_VI_
1750,DOK1_DOK1
1751,CFHR3_FHR3
1752,CFLAR_FLIP
1753,MPZL1_MPZL1
1754,RAB3B_RAB3B
1755,RGS5_RGS5
1756,SCO2_SCO2
1757,PDZK1_NHRF3
1758,NRK1_NRK1
1759,LSM4_LSM4
1760,MAPRE2_MARE2
1761,RAB2A_RAB2A
1762,RCN3_RCN3
1763,SH3GLB1_SHLB1
1764,NANP_NANP
1765,TAF15_RBP56
1766,PCTK1_PCTK1
1767,GSTZ1_MAAI
1768,MAGOHB_MGN2
1769,MSRB2_MSRB2
1770,PHPT1_PHP14
1771,RAB4A_RAB4A
1772,MAPRE3_MARE3
1773,PTRH2_PTH2
1774,ADAMTSL1_ATL1
1775,ENPP2_ENPP2
1776,OSBPL9_OSBL9
1777,MDGA1_MDGA1
1778,LAMP1_LAMP1
1779,CADM2_Nectin_like_protein_3
1780,OMG_OMGP
1781,RNASET2_RNT2
1782,CD14_sCD14
1783,SEMA4A_SEM4A
1784,SLITRK6_SLIK6
1785,TLR3_TLR3
1786,DBI_ACBP
1787,PLXNB3_PLXB3
1788,PFN2_Profilin_II
1789,ALPL_Alkaline_phosphatase__liver
1790,SULT1E1_SULT_1E
1791,HBB_Beta_globin
1792,GSTA1_GST_A1_1
1793,PDGFD_PDGFD
1794,BLVRB_BLVRB
1795,HSPE1_HSP_10
1796,IRF3_IRF_3
1797,KIR2DS4_KI2S4
1798,KIR2DL3_KI2L3
1799,PTGES3_TEBP
1800,VPS28_VPS28_protein_homolog
1801,DCLK1_DCAK1
1802,UBE2G1_UB2G1
1803,DDOST_OST48
1804,ANXA3_Annexin_III
1805,ANXA4_annexin_IV
1806,PPBP_BTG
1807,FGF8_FGF_8F
1808,CALCB_CALCB
1809,STATH_STAT
1810,MAP2K6_MP2K6
1811,PSIP1_PSIP1
1812,BAG1_BAG_1
1813,CLPP_ClpP_endopeptidase
1814,HIF1AN_HIF1N
1815,KIR2DL1_KI2L1
1816,PDCD4_PDCD4
1817,PNMT_PNMT
1818,RAB5A_RAB5A
1819,SULT2B1_ST2B1
1820,TCL1A_TCL1A
1821,OGN_MIME
1822,LCP1_L_plastin
1823,SELH_SELH
1824,AASDHPPT_ADPPT
1825,GUK1_KGUA
1826,DUSP23_DUS23
1827,CNPY3_CNPY3
1828,BDH2_BDH2
1829,KREMEN1_KREM1
1830,ADPRHL2_ARHL2
1831,ACADM_ACADM
1832,VAMP2_VAMP2
1833,CREB3L2_CR3L2
1834,YY1_TYY1
1835,ACAT2_THIC
1836,AGR3_AGR3
1837,SNPH_SNPH
1838,STOML1_STML1
1839,ZADH2_ZADH2
1840,FDCSP_FDSCP
1841,AIDA_CA080
1842,SYNJ2BP_SYJ2B
1843,CHMP2B_CHM2B
1844,SYT4_SYT4
1845,IL1F10_IL1FA
1846,SEPSECS_SPCS
1847,VHL_VHL
1848,SNRPB2_RU2B
1849,CCBL1_KAT1
1850,DCUN1D1_DCNL1
1851,STMN1_Stathmin
1852,ABHD10_ABHDA
1853,EIF4EBP1_4EBP1
1854,AKR1C3_Aldose_reductase_like_C3
1855,UBE2K_UBE2K
1856,STARD5_STAR5
1857,PFKM_K6PF
1858,NFKBIB_IKB_beta
1859,RBM17_SPF45
1860,ACADS_SCAD
1861,ADH1A_ADH1A
1862,HSD17B11_DHB11
1863,HMOX1_HO_1
1864,ACOT8_ACOT8
1865,ACADSB_acyl_Coenzyme_A_dehydrogenase
1866,ARL5B_ARL5B
1867,UCHL5_UCHL5
1868,PMM1_PMM1
1869,CETN3_CETN3
1870,UFD1L_UFD1
1871,TES_TES
1872,NLGN3_NLGN3
1873,AK4_KAD4
1874,ETFA_ETFA
1875,CSNK1G2_CSNK1G2
1876,ALPI_Alkaline_phosphatase__intestine
1877,SFRP4_SFRP4
1878,CD9_CD9
1879,HARS_Histidyl_tRNA_synthetase
1880,BCL2L11_BIM
1881,CP_Ceruloplasmin
1882,EGFL6_EGFL6
1883,FOLR1_FOLR1
1884,GOLM1_GOLM1
1885,MX1_Mx1
1886,IRF1_IRF1
1887,ACSF2_ACSF2
1888,DHRS9_DHRS9
1889,SUFU_SUFU
1890,YEATS4_YETS4
1891,PBK_TOPK
1892,SH3BGRL3_SH3BGRL3_like_protein
1893,SIRT3_SIR3
1894,NAALADL1_NALDL
1895,HPD_HPPD
1896,SRP14_SRP14
1897,RPP30_RPP30
1898,NMI_NMI
1899,ANXA11_ANX11
1900,RAB21_RAB21
1901,HSPA13_STCH
1902,RAB3A_Rab3A
1903,ING4_ING4
1904,GIF_Gastric_intrinsic_factor
1905,CA5B_Carbonic_Anhydrase_VB
1906,ACOT13_ACO13
1907,TRIP10_CIP4
1908,CD160_BY55
1909,EPHB1_EPHB1
1910,CD46_CD46
1911,COMMD9_COMD9
1912,APOA4_Apo_A_IV
1913,TBCB_TBCB
1914,TPP1_TPP1
1915,BTN3A3_BT3A3
1916,SEPT6_Septin_6
1917,PSME2_PSME2
1918,TICAM2_TIRP
1919,OVCA2_OVCA2
1920,WBP2_WBP2
1921,TIMELESS_TIMELESS
1922,UGT1A1_UGT_1A1
1923,GMNN_GEMI
1924,HSPH1_HS105
1925,PPP1R1A_PPR1A
1926,TPD52L1_TPD53
1927,VAMP1_VAMP1
1928,IDI1_IDI1
1929,GAS7_GAS7
1930,FKBP4_FKBP52_protein
1931,WWOX_WWOX
1932,USH1C_USH1C
1933,SAR1A_SAR1A
1934,PTTG1_Securin
1935,CHMP2A_CHM2A
1936,UBE2S_UBE2S
1937,ENSA_a_endosulfine
1938,GABARAP_GBRAP
1939,APTX_APTX
1940,IVD_IVD
1941,CRNN_CRNN
1942,HADH_HCDH
1943,RRAS_RRAS
1944,UBE2A_UBE2A
1945,RAB11A_RB11A
1946,FIS1_FIS1
1947,TRAF1_TRAF1
1948,TP53I3_QORX
1949,RRM2_RIR2
1950,CRYBB1_CRBB1
1951,ARG2_Arginase
1952,UGDH_UGDH
1953,DCTD_DCTD
1954,CAB39_CAB39
1955,DCXR_DCXR
1956,WDR5_WDR5
1957,NUDT5_NUDT5
1958,RHOC_RHOC
1959,SNUPN_SPN1
1960,NCF1_NCF_1
1961,HAO1_HAOX1
1962,PCNP_PCNP
1963,EMC8_EMC8
1964,CRCP_RPC9
1965,UBD_UBD
1966,NAPG_SNAG
1967,SNRPD3_SMD3
1968,TAGLN3_TAGL3
1969,PECR_PECR
1970,SDSL_SDSL
1971,RAB32_RAB32
1972,MAP1LC3A_MLP3A
1973,ACAA1_THIK
1974,MMAB_MMAB
1975,GMFB_GMFB
1976,RCL_RCL
1977,GGPS1_GGPPS
1978,ECHS1_Enoyl_CoA_hydratase
1979,QPRT_NADC
1980,HPCAL1_HPCL1
1981,ALDH5A1_SSDH
1982,DIRAS1_DIRA1
1983,PMM2_Phosphomannomutase_2
1984,LSM1_LSM1
1985,IMPA1_IMPA1
1986,CUL1_CUL1
1987,PGLS_6PGL
1988,SCAND1_SCAND1
1989,NANS_SIAS
1990,PNPO_PNPO
